,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
0,Чумаченко Валентина Миколаївна,"Партія ""Відродження""",Перший кандидат,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 20.11.1964 р., освіта професійно-технічна, член Партії ""Відродження"", Верхньодні-провська міська рада, Секретар, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,
1,Синєпостол Олександр Іванович,"Партія ""Відродження""",24,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 07.05.1955 р., освіта вища, безпартійний, Державне лісове господарство, Головний механік, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  25,2577"
2,Ковальчук Володимир Іванович,"Партія ""Відродження""",16,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 30.11.1958 р., освіта вища, безпартійний, ПП будівельне підприємство ""Укс"", директор, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  21,6216"
3,Бойко Людмила Іванівна,"Партія ""Відродження""",19,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 28.07.1962 р., освіта професійно-технічна, член Партії ""Відродження"", ПП Бойко Л.І., фізична особа – підприємець, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  20,1923"
4,Півненко Анна Георгіївна,"Партія ""Відродження""",14,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 07.07.1984 р., освіта вища, безпартійна, ПАТ ""ВЗПР"", Начальник відділу, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  20,1220"
5,Іванюк Василь Григорович,"Партія ""Відродження""",8,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 21.04.1957 р., освіта вища, безпартійний, ПП Іванюк В.Г., фізична особа – підприємець, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  19,2771"
6,Дорошенко Тамара Федорівна,"Партія ""Відродження""",7,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 09.01.1955 р., освіта вища, безпартійна, КЗ ""ВЦРЛДОР"", Завідуюча Відділенням, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  18,7500"
7,Пальонов Олексій Дмитрович,"Партія ""Відродження""",12,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 02.08.1962 р., освіта вища, безпартійний, ПАТ ""ВАРЗ"", Начальник цеху, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  18,4211"
8,Овчаренко Ігор Віталійович,"Партія ""Відродження""",6,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 30.01.1965 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  17,8423"
9,Колісник Тетяна Василівна,"Партія ""Відродження""",20,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 21.11.1957 р., освіта вища, безпартійна, КЗ ""ДНЗ"" № 7, завідуюча, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м. Верхньодніпровськ",28.09.2015,"  17,6471"
10,Гаврюхін Сергій Володимирович,"Партія ""Відродження""",3,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 07.05.1966 р., освіта вища, безпартійний, ТОВ ""Верхньо-дніпровська взуттєва фабрика"", директор, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  17,6211"
11,Федорянко Олена Володимирівна,"Партія ""Відродження""",23,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 10.02.1977 р., освіта вища, безпартійна, Районний будинок культури, директор, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  17,1806"
12,Рекунов Олександр Юрійович,"Партія ""Відродження""",2,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 09.06.1962 р., освіта вища, безпартійний, ПП Рикунов О.Ю., фізична особа – підприємець, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  17,0370"
13,Кузьменко Віталій Анатолійович,"Партія ""Відродження""",1,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 05.09.1982 р., освіта вища, член Партії ""Відродження"", Верхньодні-провська районна рада, Начальник відділу, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  16,2602"
14,Бондаренко Юрій Олексійович,"Партія ""Відродження""",15,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 06.01.1960 р., освіта вища, безпартійний, ПП Бондаренко Ю.О., фізична особа – підприємець, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  16,0256"
15,Гордієнко Надія Володимирівна,"Партія ""Відродження""",26,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 14.04.1968 р., освіта професійно-технічна, безпартійна, КП ""Житловик"", майстер, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  15,8730"
16,Корнієнко Катерина Петрівна,"Партія ""Відродження""",5,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 22.12.1961 р., освіта професійно-технічна, безпартійна, Вокальна студія ""Світанок"", керівник, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  15,2941"
17,Кузнєцов Геннадій Володимирович,"Партія ""Відродження""",17,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 23.01.1972 р., освіта професійно-технічна, безпартійний, ТОВ ""Техінвест"", директор, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  14,6667"
18,Бідюк Іван Іванович,"Партія ""Відродження""",18,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 29.03.1950 р., освіта вища, безпартійний, пенсіонер, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  14,6341"
19,Рог Володимир Олександрович,"Партія ""Відродження""",22,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 02.09.1966 р., освіта професійно-технічна, безпартійний, ПП Рог В.О., фізична особа – підприємець, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  14,4231"
20,Ткаченко Наталія Вікторівна,"Партія ""Відродження""",13,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 14.07.1973 р., освіта професійно-технічна, безпартійна, КЗ ДНЗ № 3, завідуюча, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  14,2857"
21,Тимошенко Олексій Анатолійович,"Партія ""Відродження""",11,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянин України, народився 09.03.1980 р., освіта вища, безпартійний, ТОВ ""Землевпо-рядне підприєм-ство"", Оцінювач майна, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  14,1791"
22,Марченко Тетяна Юріївна,"Партія ""Відродження""",10,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 10.03.1965 р., освіта професійно-технічна, безпартійна, Санаторій ""Славутич"", Завідуюча клубом, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  13,8340"
23,Потєряйко Віта Григорівна,"Партія ""Відродження""",4,Дніпропетровська область,Верхньодніпровська міська рада,"Громадянка України, народилася 26.05.1965 р., освіта вища, безпартійна, КЗ ""ДНЗ"" № 1, завідуюча, місце проживання: Дніпропетровська обл., Верхньодніпровський р-н, м.Верхньодніпровськ",28.09.2015,"  13,7405"
