,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
0,Хірлюк Радіон Якович,Аграрна партія України,Перший кандидат,Донецька область,Покровська районна рада,"Громадянин України, народився 08.02.1961 р., освіта вища, член Аграрної партії України, Фермерське господартво ""Хірлюк і К"", директор, місце проживання: с-ще Перше Травня",01.10.2015,
1,Куліш Володимир Іванович,Аграрна партія України,23,Донецька область,Покровська районна рада,"Громадянин України, народився 02.09.1964 р., освіта вища, член Аграрної партії України, Товариство з обмеженою відповідальністю Агрофірма ""Новоолександрівська"", Голова Агрофірми, місце проживання: с. Новоолександрівка",01.10.2015,"  84,9398"
2,Черкашина Юлія Олегівна,Аграрна партія України,16,Донецька область,Покровська районна рада,"Громадянка України, народилася 13.02.1990 р., освіта вища, безпартійна, Телерадіокомпанія ""Орбіта"", кореспондент, місце проживання: м. Красноармійськ",01.10.2015,"  35,3448"
3,Ковальова Вікторія Володимирівна,Аграрна партія України,15,Донецька область,Покровська районна рада,"Громадянка України, народилася 06.05.1981 р., освіта вища, член Аграрної партії України, Товариство з обмеженою відповідальністю Агрофірма ""Лисівська"", головний бухгалтер, місце проживання: м. Красноармійськ",01.10.2015,"  34,7107"
4,Кеба Олександр Миколайович,Аграрна партія України,17,Донецька область,Покровська районна рада,"Громадянин України, народився 23.01.1958 р., освіта вища, член Аграрної партії України, Товариство з обмеженою відповідальністюАгрофірма ""Лисівська"", директор, місце проживання: м. Красноармійськ",01.10.2015,"  28,7938"
5,Анікеєва Віолета Вікторівна,Аграрна партія України,26,Донецька область,Покровська районна рада,"Громадянка України, народилася 25.12.1965 р., освіта вища, член Аграрної партії України, Красноармійська центральна районна лікарня, Завідуюча дитячим відділенням, місце проживання: м. Красноармійськ",01.10.2015,"  24,5455"
6,Кирилов В’ячеслав Валентинович,Аграрна партія України,9,Донецька область,Покровська районна рада,"Громадянин України, народився 17.06.1959 р., освіта вища, безпартійний, Держземагенство, Начальник, місце проживання: м. Красноармійськ",01.10.2015,"  18,1818"
7,Сиротюк Галина Єгорівна,Аграрна партія України,8,Донецька область,Покровська районна рада,"Громадянка України, народилася 26.03.1953 р., освіта вища, безпартійна, Красноармійський ліцей ""Надія"", директор, місце проживання: м. Красноармійськ",01.10.2015,"  14,7253"
8,Колєснік Віктор Михайлович,Аграрна партія України,21,Донецька область,Покровська районна рада,"Громадянин України, народився 24.09.1956 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: м. Красноармійськ",01.10.2015,"  14,6552"
9,Кеба Юрій Олександрович,Аграрна партія України,3,Донецька область,Покровська районна рада,"Громадянин України, народився 11.04.1983 р., освіта вища, член Аграрної партії України, Товариство з обмеженою відповідальністюАгрофірма ""Лисівська"", Заступник директора, місце проживання: м. Донецьк",01.10.2015,"  13,5647"
10,Вітович Євген Йосипович,Аграрна партія України,14,Донецька область,Покровська районна рада,"Громадянин України, народився 09.08.1970 р., освіта вища, безпартійний, Фермерське господартво ""Діловіт"", Голова, місце проживання: с. Гнатівка",01.10.2015,"  12,3077"
11,Вінюков Олександр Олександрович,Аграрна партія України,24,Донецька область,Покровська районна рада,"Громадянин України, народився 14.08.1986 р., освіта вища, безпартійний, Дослідницька станція Національної академії наук, директор, місце проживання: с. Підгорне",01.10.2015,"   7,9365"
12,Полях Віталій Валентинович,Аграрна партія України,30,Донецька область,Покровська районна рада,"Громадянин України, народився 04.12.1972 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: м. Димитров",01.10.2015,"   6,1602"
13,Приходченко Клавдія Іванівна,Аграрна партія України,27,Донецька область,Покровська районна рада,"Громадянка України, народилася 13.02.1955 р., освіта вища, безпартійна, Приватне акціонерне товариство ""Донецьксталь"", Заступник Начальника управління бурових технологій, місце проживання: с. Успенівка",01.10.2015,"   6,1069"
14,Сєряпін Олег Валерійович,Аграрна партія України,19,Донецька область,Покровська районна рада,"Громадянин України, народився 02.04.1974 р., освіта вища, член Аграрної партії України, Красноармійська центральна районна лікарня, Лікар, місце проживання: м. Красноармійськ",01.10.2015,"   4,8458"
15,Лазарєв Юрій Олександрович,Аграрна партія України,11,Донецька область,Покровська районна рада,"Громадянин України, народився 06.06.1958 р., освіта вища, член Аграрної партії України, Красноармійська центральна районна лікарня, Лікар, місце проживання: м. Димитров",01.10.2015,"   3,8674"
