,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
0,Волківський Анатолій Миколайович,Народна Партія,Перший кандидат,Житомирська область,Коростенська міська рада,"Громадянин України, народився 02.03.1959 р., освіта вища, член Народної Партії, Коростенська ЦМЛ, завідувач наркологічним відділенням, місце проживання: м.Коростень Житомирська обл.",30.09.2015,
1,Андрейчук Анатолій Миколайович,Народна Партія,14,Житомирська область,Коростенська міська рада,"Громадянин України, народився 11.06.1984 р., освіта вища, безпартійний, АТ ""Ощадбанк"", завідувач сектору інкасації, місце проживання: м.Коростень Житомирська обл.",30.09.2015,
2,Андрієнко Олександр Володимирович,Народна Партія,9,Житомирська область,Коростенська міська рада,"Громадянин України, народився 24.11.1968 р., освіта вища, член Народної Партії, Коростенська ЦМЛ, лікар-хірург, місце проживання: м.Коростень Житомирська обл.",30.09.2015,
3,Андрук Наталія Іванівна,Народна Партія,19,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 04.01.1962 р., освіта вища, безпартійна, Коростенська ЦМЛ, завідувач реанімаційним відділенням, місце проживання: м.Коростень Житомирська обл.",30.09.2015,
4,Бовкунов Юрій Опанасович,Народна Партія,3,Житомирська область,Коростенська міська рада,"Громадянин України, народився 02.05.1967 р., освіта вища, безпартійний, ОСББ ""Коростень-Еліт"", голова, місце проживання: м.Коростень Житомирська обл.",30.09.2015,
5,Борисевич Марина Олексіївна,Народна Партія,5,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 06.12.1983 р., освіта професійно-технічна, безпартійна, Коростенська ЦМЛ, медична сестра, місце проживання: м.Коростень Житомирська обл.",30.09.2015,
6,Васянович Ірина Олександрівна,Народна Партія,23,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 09.07.1987 р., освіта вища, безпартійна, Коростенська ЦМЛ, лікар-офтальмолог, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
7,Вейс Ігор Валерійович,Народна Партія,32,Житомирська область,Коростенська міська рада,"Громадянин України, народився 30.04.1989 р., освіта професійно-технічна, член Народної Партії, тимчасово не працює, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
8,Висоцький Віталій Володимирович,Народна Партія,15,Житомирська область,Коростенська міська рада,"Громадянин України, народився 12.07.1982 р., освіта професійно-технічна, безпартійний, КП ""Водоканал"", майстер, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
9,Волківська Наталія Анатоліївна,Народна Партія,7,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 30.01.1962 р., освіта вища, член Народної Партії, Коростенська ЦМЛ, лікар-дерматовенеролог, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
10,Дідківський Віталій Степанович,Народна Партія,4,Житомирська область,Коростенська міська рада,"Громадянин України, народився 22.10.1981 р., освіта вища, безпартійний, Коростенська ЦМЛ, лікар-нейрохірург, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
11,Довгошиєнко Ірина Павлівна,Народна Партія,8,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 20.03.1977 р., освіта вища, безпартійна, Дитяче відділення Коростенської ЦМЛ, завідувач відділенням, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
12,Дубінчук Володимир Петрович,Народна Партія,6,Житомирська область,Коростенська міська рада,"Громадянин України, народився 23.12.1973 р., освіта вища, безпартійний, Міський палац культури, директор, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
13,Євстаф’єв Юрій Володимирович,Народна Партія,22,Житомирська область,Коростенська міська рада,"Громадянин України, народився 27.06.1978 р., освіта вища, безпартійний, Стадіон ""Спартак"", директор, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
14,Кватюра Ілля Володимирович,Народна Партія,12,Житомирська область,Коростенська міська рада,"Громадянин України, народився 01.09.1984 р., освіта вища, безпартійний, КП КМР ""ТО Коростеньмедіа"", доловний інженер, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
15,Ковальчук Оксана Петрівна,Народна Партія,27,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 09.09.1971 р., освіта вища, безпартійна, Дитячий ДНЗ № 19 м. Коростеня, вихователь, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
16,Колесник Володимир Володимирович,Народна Партія,13,Житомирська область,Коростенська міська рада,"Громадянин України, народився 16.05.1975 р., освіта вища, член Народної Партії, МГО ТСК ""ВІЗАВІ"", керівник, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
17,Костриця Андрій Олександрович,Народна Партія,18,Житомирська область,Коростенська міська рада,"Громадянин України, народився 22.06.1978 р., освіта вища, член Народної Партії, приватний підприємець, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
18,Кучинський В’ячеслав Миколайович,Народна Партія,25,Житомирська область,Коростенська міська рада,"Громадянин України, народився 22.09.1984 р., освіта вища, безпартійний, Ст. Коростень, інженер-електронник, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
19,Кучинський Петро Миколайович,Народна Партія,29,Житомирська область,Коростенська міська рада,"Громадянин України, народився 09.12.1990 р., освіта вища, безпартійний, ПТЕК, агент, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
20,Москалик Аркадій Юрійович,Народна Партія,26,Житомирська область,Коростенська міська рада,"Громадянин України, народився 07.03.1956 р., освіта вища, безпартійний, ЗОШ № 8 м Коростеня, заступник директора, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
21,Недашківська Тетяна Василівна,Народна Партія,30,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 09.07.1976 р., освіта вища, безпартійна, ПП ""Укрпалетсистем"", бухгалтер, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
22,Онищенко Юрій Георгійович,Народна Партія,1,Житомирська область,Коростенська міська рада,"Громадянин України, народився 24.03.1969 р., освіта вища, безпартійний, пенсіонер, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
23,Петренко Леся Броніславівна,Народна Партія,33,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 05.02.1975 р., освіта вища, безпартійна, тимчасово не працює, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
24,Пивовар Майя Миколаївна,Народна Партія,2,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 21.05.1981 р., освіта вища, безпартійна, тимчасово не працює, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
25,Пішков Віктор Васильович,Народна Партія,10,Житомирська область,Коростенська міська рада,"Громадянин України, народився 12.06.1970 р., освіта вища, член Народної Партії, Коростенська ЦМЛ, завідувач клініко-діагностичною лабораторією, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
26,Слобожанюк Сергій Володимирович,Народна Партія,34,Житомирська область,Коростенська міська рада,"Громадянин України, народився 05.01.1972 р., освіта вища, безпартійний, ТОВ ""Белазукрремсервіс"", керівник, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
27,Солоний Ігор Іпполітович,Народна Партія,24,Житомирська область,Коростенська міська рада,"Громадянин України, народився 12.04.1960 р., освіта вища, член Народної Партії, ДП Коростенський лісгосп АПК, юрисконсульт, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
28,Степанчук Андрій Петрович,Народна Партія,11,Житомирська область,Коростенська міська рада,"Громадянин України, народився 08.08.1983 р., освіта вища, член Народної Партії, Міський палац культури, режисер масових заходів, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
29,Танасевський Микола Миколайович,Народна Партія,16,Житомирська область,Коростенська міська рада,"Громадянин України, народився 22.06.1961 р., освіта вища, член Народної Партії, Коростенська ЦМЛ, заступник головного лікаря, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
30,Федоренко Олександр Володимирович,Народна Партія,21,Житомирська область,Коростенська міська рада,"Громадянин України, народився 06.08.1983 р., освіта професійно-технічна, член Народної Партії, Коростенська ЦМЛ, фельдшер, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
31,Хоменко Світлана Іванівна,Народна Партія,20,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 26.01.1970 р., освіта вища, безпартійна, Коростенська ЦМЛ, завідувач інфекційним відділенням, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
32,Шидловський Віктор Петрович,Народна Партія,31,Житомирська область,Коростенська міська рада,"Громадянин України, народився 09.04.1959 р., освіта вища, безпартійний, Коростенська ЦМЛ, лікар-хірург, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
33,Шкуратова Людмила Миколаївна,Народна Партія,17,Житомирська область,Коростенська міська рада,"Громадянка України, народилася 21.04.1978 р., освіта вища, безпартійна, ТОВ Червоного хреста, голова КМО, місце проживання: м.Коростень, Житомирська обл.",30.09.2015,
