,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
0,Цуркан Олег Олексійович,Аграрна партія України,Перший кандидат,Одеська область,Подільська міська рада,"Громадянин України, народився 21.09.1957 р., освіта вища, член Аграрної партії України, Центр надання адміністративних послуг Котовської міської ради, Керівник Центру надання адміністративних послуг, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
1,Гатілов Геннадій Валентинович,Аграрна партія України,2,Одеська область,Подільська міська рада,"Громадянин України, народився 07.05.1966 р., освіта вища, безпартійний, М.Котовськ, фізична особа – підприємець, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
2,Кирсаненко Олександр Олександрович,Аграрна партія України,12,Одеська область,Подільська міська рада,"Громадянин України, народився 14.09.1957 р., освіта вища, безпартійний, Котовська філія виконавчої дирекції фонду, Директор фонду соцстрахування, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
3,Лесик Оксана Олександрівна,Аграрна партія України,6,Одеська область,Подільська міська рада,"Громадянка України, народилася 14.06.1976 р., освіта вища, безпартійна, Центр надання адміністративних послуг Котовської міської ради, Бухгалтер Центру надання адміністративних послуг Котовської міської ради, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
4,Мороз Олександр Сергійович,Аграрна партія України,31,Одеська область,Подільська міська рада,"Громадянин України, народився 06.06.1965 р., освіта вища, безпартійний, ПАТ ""Котовська меблева фабрика, Головний інженер ПАТ ""Котовська меблева фабрика"", місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
5,Осокіна Наталья Василівна,Аграрна партія України,25,Одеська область,Подільська міська рада,"Громадянка України, народилася 20.06.1976 р., освіта вища, безпартійна, Котовське хлібоприймальне підприємство, юрист, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
6,Постнов Микола Володимирович,Аграрна партія України,32,Одеська область,Подільська міська рада,"Громадянин України, народився 01.07.1945 р., освіта вища, безпартійний, пенсіонер, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
7,Скоропад Юрій Сергійович,Аграрна партія України,18,Одеська область,Подільська міська рада,"Громадянин України, народився 27.07.1974 р., освіта вища, безпартійний, Котовське вагонне депо, Головний інженер вагонного депо, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
8,Цуркан Людмила Василівна,Аграрна партія України,28,Одеська область,Подільська міська рада,"Громадянка України, народилася 11.09.1958 р., освіта вища, член Аграрної партії України, М.Котовськ, фізична особа – підприємець, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
9,Чернега Олена Іванівна,Аграрна партія України,5,Одеська область,Подільська міська рада,"Громадянка України, народилася 10.09.1963 р., освіта вища, безпартійна, Котовська міська рада, Начальник управління архітектури Котовської міської ради, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
10,Плахотний Олександр Анатолійович,"Партія ""Відродження""",Перший кандидат,Одеська область,Подільська міська рада,"Громадянин України, народився 05.12.1976 р., освіта вища, член Партії ""Відродження"", Управління комунального господарства та будівництва, начальник, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,
11,Мельник Петро Єфимович,"Партія ""Відродження""",13,Одеська область,Подільська міська рада,"Громадянин України, народився 10.08.1961 р., освіта вища, член Партії ""Відродження"", КО ""БЛАГОУСТРІЙ"", директор, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  48,7421"
12,Гордус Володимир Олександрович,"Партія ""Відродження""",24,Одеська область,Подільська міська рада,"Громадянин України, народився 30.01.1955 р., освіта загальна середня, член Партії ""Відродження"", ОСББ ""Весна"", Голова, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  32,9073"
13,Іванюк Сергій Володимирович,"Партія ""Відродження""",26,Одеська область,Подільська міська рада,"Громадянин України, народився 13.02.1973 р., освіта загальна середня, член Партії ""Відродження"", Відділення ВОХР, Начальник відділення, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  30,0000"
14,Музичук Олена Валеріївна,"Партія ""Відродження""",1,Одеська область,Подільська міська рада,"Громадянка України, народилася 28.06.1972 р., освіта вища, член Партії ""Відродження"", Фінансове управління, Начальник, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  25,9947"
15,Волошина Галина Іванівна,"Партія ""Відродження""",21,Одеська область,Подільська міська рада,"Громадянка України, народилася 27.06.1951 р., освіта вища, член Партії ""Відродження"", Працівник бібліотечної системи, працівник, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  25,6410"
16,Шаповал Борис Дмитрович,"Партія ""Відродження""",4,Одеська область,Подільська міська рада,"Громадянин України, народився 27.02.1953 р., освіта вища, член Партії ""Відродження"", Підприємець, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  25,0000"
17,Голіченко Людмила Миколаївна,"Партія ""Відродження""",11,Одеська область,Подільська міська рада,"Громадянка України, народилася 27.11.1959 р., освіта вища, член Партії ""Відродження"", Котовський міський ринок, Керівник, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  24,5033"
18,Гук Іван Миколайович,"Партія ""Відродження""",23,Одеська область,Подільська міська рада,"Громадянин України, народився 09.05.1964 р., освіта вища, член Партії ""Відродження"", Котовська лікарня, Лікар, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  24,0924"
19,Суханов Ігор Віталійович,"Партія ""Відродження""",9,Одеська область,Подільська міська рада,"Громадянин України, народився 11.05.1977 р., освіта вища, член Партії ""Відродження"", підприємець, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  23,2919"
20,Бацура Степан Юхимович,"Партія ""Відродження""",2,Одеська область,Подільська міська рада,"Громадянин України, народився 03.07.1953 р., освіта вища, безпартійний, Спілка ветеранів, Голова, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  21,8750"
21,Євтодій Світлана Олександрівна,"Партія ""Відродження""",25,Одеська область,Подільська міська рада,"Громадянка України, народилася 12.02.1979 р., освіта вища, член Партії ""Відродження"", УКГБ Котовської міської ради, Начальник відділу, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  21,7082"
22,Бондаренко Петро Васильович,"Партія ""Відродження""",28,Одеська область,Подільська міська рада,"Громадянин України, народився 12.06.1968 р., освіта вища, член Партії ""Відродження"", Центр соціальних служб, Начальник, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  20,4403"
23,Кашульський Володимир Пантелійович,"Партія ""Відродження""",31,Одеська область,Подільська міська рада,"Громадянин України, народився 17.06.1951 р., освіта вища, член Партії ""Відродження"", КВЕП ""КОТОВСЬКВОДОКАНАЛ, директор, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  20,3166"
24,Мокряк Георгій Костянтинович,"Партія ""Відродження""",17,Одеська область,Подільська міська рада,"Громадянин України, народився 06.05.1947 р., освіта загальна середня, член Партії ""Відродження"", пенсіонер, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  19,5440"
25,Перлей Максим Вікторович,"Партія ""Відродження""",5,Одеська область,Подільська міська рада,"Громадянин України, народився 20.11.1979 р., освіта вища, член Партії ""Відродження"", КВЕП ""КОТОВСЬКТЕПЛОКОМУНЕНЕРГО"", директор, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  19,4521"
26,Куліченко Ігор Петрович,"Партія ""Відродження""",10,Одеська область,Подільська міська рада,"Громадянин України, народився 09.08.1970 р., освіта вища, член Партії ""Відродження"", Центр надання послуг з використання авто засобів, начальник, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  19,3846"
27,Урсул Тамара Павлівна,"Партія ""Відродження""",6,Одеська область,Подільська міська рада,"Громадянка України, народилася 13.02.1949 р., освіта вища, член Партії ""Відродження"", пенсіонер, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  18,4659"
28,Сопинська Галина Тимофіївна,"Партія ""Відродження""",3,Одеська область,Подільська міська рада,"Громадянка України, народилася 12.08.1952 р., освіта вища, член Партії ""Відродження"", ЗОШ № 9, директор, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  18,0982"
29,Пасічник Тетяна Іванівна,"Партія ""Відродження""",15,Одеська область,Подільська міська рада,"Громадянка України, народилася 03.06.1960 р., освіта загальна середня, член Партії ""Відродження"", Дистанція електроз’язку, Оператор, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  18,0328"
30,Вихованець Михайло Олексійович,"Партія ""Відродження""",7,Одеська область,Подільська міська рада,"Громадянин України, народився 19.12.1943 р., освіта вища, член Партії ""Відродження"", Редактор газети ""СЛОВО И ДЕЛО"", пенсiонер, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  17,5595"
31,Войцеховська Наталія Альгердасівна,"Партія ""Відродження""",14,Одеська область,Подільська міська рада,"Громадянка України, народилася 28.06.1969 р., освіта вища, член Партії ""Відродження"", Директор ПП ""НА – ДОБРОБУТ"", Підприємець, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  17,2805"
32,Куліков Олександр Юрійович,"Партія ""Відродження""",33,Одеська область,Подільська міська рада,"Громадянин України, народився 07.11.1963 р., освіта вища, член Партії ""Відродження"", Музей бойової слави, директор, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  16,0410"
33,Чушкова Наталія Валеріївна,"Партія ""Відродження""",8,Одеська область,Подільська міська рада,"Громадянка України, народилася 26.08.1977 р., освіта загальна середня, член Партії ""Відродження"", ПП ""ЄВРОСТИЛЬ"", директор, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  14,9510"
34,Жуковський Олександр Вілійович,"Партія ""Відродження""",16,Одеська область,Подільська міська рада,"Громадянин України, народився 19.07.1963 р., освіта вища, член Партії ""Відродження"", Котовська міська лікарня, Головний лікар, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  13,6364"
35,Швець Олена Анатоліївна,"Партія ""Відродження""",18,Одеська область,Подільська міська рада,"Громадянка України, народилася 19.05.1968 р., освіта вища, член Партії ""Відродження"", Управління пенсійного фонду, Начальник, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  13,6213"
36,Гербер Світлана Валентинівна,"Партія ""Відродження""",12,Одеська область,Подільська міська рада,"Громадянка України, народилася 09.07.1970 р., освіта вища, член Партії ""Відродження"", ЗОШ № 5, Заступник директора ЗОШ № 5, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  13,5338"
37,Шаповал Павло Борисович,"Партія ""Відродження""",22,Одеська область,Подільська міська рада,"Громадянин України, народився 22.09.1976 р., освіта вища, член Партії ""Відродження"", підприємець, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  13,2143"
38,Григор’єв Олександр Миколайович,"Партія ""Відродження""",32,Одеська область,Подільська міська рада,"Громадянин України, народився 10.11.1966 р., освіта вища, член Партії ""Відродження"", Меблева фабрика, Начальник відділу, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  12,6649"
39,Дар’яш Станіслав Іванович,"Партія ""Відродження""",27,Одеська область,Подільська міська рада,"Громадянин України, народився 22.05.1938 р., освіта вища, член Партії ""Відродження"", пенсіонер, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  12,3457"
40,Жуковський Юрій Олексійович,"Партія ""Відродження""",34,Одеська область,Подільська міська рада,"Громадянин України, народився 23.12.1961 р., освіта вища, член Партії ""Відродження"", КВЕП ""КОТОВСЬКВОДОКАНАЛ"", Начальник, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  11,6129"
41,Коломійчук Ірина Костянтинівна,"Партія ""Відродження""",20,Одеська область,Подільська міська рада,"Громадянка України, народилася 26.08.1961 р., освіта вища, член Партії ""Відродження"", Управління праці та соціального захисту населення, Начальник, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"  10,3943"
42,Лайтан Анатолій Петрович,"Партія ""Відродження""",19,Одеська область,Подільська міська рада,"Громадянин України, народився 17.11.1946 р., освіта вища, член Партії ""Відродження"", НВК Загальноосвітня школа І ступеня – гімназія, директор, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"   9,9359"
43,Каліта Юрій Володимирович,"Партія ""Відродження""",30,Одеська область,Подільська міська рада,"Громадянин України, народився 19.10.1973 р., освіта вища, член Партії ""Відродження"", ТОВ ""ГЛОБУС"", директор, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"   8,8146"
44,Стовба Віктор Платонович,"Партія ""Відродження""",29,Одеська область,Подільська міська рада,"Громадянин України, народився 17.11.1946 р., освіта загальна середня, член Партії ""Відродження"", пенсіонер, місце проживання: м. Котовськ, Одеська обл.",28.09.2015,"   8,7662"
45,Бацанова Світлана Миколаївна,"Партія ""Сильна Україна"" (Партія Сергія Тігіпка ""Сильна Україна"")",Перший кандидат,Одеська область,Подільська міська рада,"Громадянка України, народилася 02.07.1984 р., освіта вища, член Партії ""Сильна Україна"", Відділкова лікарня м. Котовськ, Лікар стоматолог, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
46,Бондаренко Павло Валерійович,"Партія ""Сильна Україна"" (Партія Сергія Тігіпка ""Сильна Україна"")",1,Одеська область,Подільська міська рада,"Громадянин України, народився 03.08.1979 р., освіта професійно-технічна, член Партії ""Сильна Україна"", Котовська станція екстреної швидкої медичної допомоги, Фельдшер, місце проживання: м. Котовськ, Одеська обл.",30.09.2015,
