,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
0,Деревляний Василь Тимофійович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Перший кандидат,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 23.08.1962 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Тернопільська обласна організація ВО ""Батьківщина"", Голова, місце проживання: Тернопільська область, Тернопільський район, с. Білоскірка",01.10.2015,
1,Боярський Вадим Андрійович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",63,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 12.04.1968 р., освіта вища, безпартійний, Департамент соціального захисту населення Тернопільської обласної державної адміністрації, директор, місце проживання: Тернопільська обл., Шумський р-н, м.Шумськ",01.10.2015,"  38,7336"
2,Сліпець Петро Ярославович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",14,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 25.01.1970 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ВАТ ""Гусятингаз"", Начальник, місце проживання: Тернопільська область, Гусятинський район,с. Перемилів",01.10.2015,"  34,0618"
3,Заріцька Надія Романівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 12.08.1957 р., освіта вища, безпартійна, Золотопотіцька комунальна районна лікарня, Лікар, місце проживання: Тернопільська обл., Бучацький район, смт. Золотий Потік",01.10.2015,"  32,2566"
4,Ференц Василь Володимирович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",32,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 09.07.1960 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Монастириська МРТМО, хірургічний відділ, завідувач, місце проживання: Тернопільська область, Монастириський район, м. Монастириськ",01.10.2015,"  30,1390"
5,Пінь Михайло Миколайович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",23,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 16.11.1960 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: Тернопільська область, Зборівський район, с.Озерна",01.10.2015,"  29,8166"
6,Бабала Василь Васильович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",7,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 10.04.1954 р., освіта вища, безпартійний, Кооператив ""Іскра"", Голова, місце проживання: Тернопільська обл., Бучацький р-н, м. Бучач",01.10.2015,"  28,8626"
7,Мерена Ігор Семенович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",37,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 02.12.1966 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватний підприємець, місце проживання: Тернопільська обл., Підгаєцький район, м. Підгайці",01.10.2015,"  28,4386"
8,Лісовський Володимир Романович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",57,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 08.06.1964 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Тернопільське районне територіальне медичне об’єднання, Завідувач хірургічного відділу, місце проживання: Тернопільська обл., Тернопільський р-н, смт. Великі Бірки",01.10.2015,"  20,9084"
9,Бабій Ольга Павлівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",64,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 03.06.1954 р., освіта вища, безпартійна, Центр первинної медико-санітарної допомоги Шумського р-ну, Головний лікар, місце проживання: Тернопільська обл., Шумський р-н, м. Шумськ",01.10.2015,"  19,8165"
10,Ярмолюк Іван Володимирович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",21,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 15.09.1965 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ПАТ ТРЗ ""Оріон"", директор, місце проживання: Тернопільська область, Зборівський район, м.Зборів",01.10.2015,"  19,5076"
11,Альтгайм Богдан Богданович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",39,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 12.03.1971 р., освіта вища, безпартійний, Золотниківський сільський будинок культури, Завідуючий -художній керівник, місце проживання: Тернопільська обл., Теребовлянський р-н, с. Золотники",01.10.2015,"  18,9415"
12,Корнійчук Віталій Іванович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",27,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 13.08.1951 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Кременецький районний комунальний центр первинної медико-санітарної допомоги, Головний лікар, місце проживання: Тернопільська область, м. Кременець",01.10.2015,"  18,5053"
13,Шірінова Галина Миколаївна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",5,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 01.01.1968 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Борщівський Центр первинної медико-санітарної допомоги, Заступник головного лікаря з медичного обслуговування населення, місце проживання: Тернопільська обл.., Борщівський р-н, смт Скала-Поділдьська",01.10.2015,"  18,4820"
14,Мриглод Андрій Миколайович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",25,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 10.11.1982 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ПП ""Біос-Тернопіль"", Заступник директора, місце проживання: Тернопільська обл., Козівський район, смт. Козлів",01.10.2015,"  18,3335"
15,Кушнір Руслана Миколаївна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",30,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 13.12.1971 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Лановецька районна державна адміністрація, Перший заступник голови, місце проживання: Тернопільська область, Лановецький район, с. Ванжулів",01.10.2015,"  17,5717"
16,Сливка Роман Романович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",18,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 11.11.1977 р., освіта вища, безпартійний, УПЦ КП м. Збараж, Священослужитель, місце проживання: Тернопільська обл.., Збаразький р-н, м.Збараж",01.10.2015,"  17,1196"
17,Крисак Іван Богданович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",36,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 20.06.1958 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Тернопільська обласна державна адміністрація, Перший заступник, місце проживання: Тернопільська область, Тернопільський район, с. Ангелівка",01.10.2015,"  15,9513"
18,Чечуріна Лілія Іванівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",29,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 06.08.1967 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Районна рада профспілки працівників освіти і науки України, Голова, місце проживання: Тернопільська область, Кременецький район, с.Білокриниця",01.10.2015,"  15,5972"
19,Кадубець Володимир Васильович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",2,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 20.09.1970 р., освіта загальна середня, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватний підприємець, місце проживання: Тернопільська обл., Бережанський район, с. Надрічне",01.10.2015,"  15,0788"
20,Кузь Олександра Іванівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",9,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 01.06.1988 р., освіта вища, безпартійна, Волонтер Вдова учасника АТО, Тимчасово не працює, місце проживання: Тернопільська обл.., Бучацький р-н, с. Ріпинці",01.10.2015,"  14,2498"
21,Барановський Володимир Валерійович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",22,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 23.09.1978 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватний підприємець, місце проживання: Тернопільська обл., Зборівський р-н, смт. Залізці",01.10.2015,"  14,0647"
22,Пронів Тарас Андрійович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",34,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 02.08.1964 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Тернопільська обласна державна адміністрація, Помічник першого заступника голови, місце проживання: Тернопільська обл., Підволочиський район, смт. Підволочиськ",01.10.2015,"  13,8077"
23,Мазник Ярослав Євгенович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",13,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 05.10.1982 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватний підприємець, місце проживання: Львівська обл., Радехівський р-н, м.Радехів",01.10.2015,"  13,8020"
24,Батринчук Борис Леонідович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",31,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 28.04.1956 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ПСП агрофірма ""Чайчинецька"", директор, місце проживання: Тернопільська обл.., Лановецький р-н, с.Чайчинці",01.10.2015,"  13,5973"
25,Ходоровський Олег Ярославович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",62,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 25.04.1978 р., освіта вища, безпартійний, Приватний підприємець, місце проживання: Тернопільська обл., м. Чортків",01.10.2015,"  13,5701"
26,Миколенко Олег Михайлович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",54,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 18.09.1975 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: Тернопільська обл., Тернопільський р-н, с. Підгороднє",01.10.2015,"  13,4857"
27,Шмигельська Тетяна Олексіївна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",28,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 11.10.1961 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Районний комунальний заклад ""Кременецький центр первинної медико-санітарної допомоги"", Головна медична сестра, місце проживання: Тернопільська обл.., Кременецький район, село Білокриниця",01.10.2015,"  13,0227"
28,Яворський Зіновій Володимирович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",41,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 21.08.1967 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Теребовля РЕМ, інженер, місце проживання: Тернопільська область, Теребовлянський район, м. Теребовля",01.10.2015,"  12,2178"
29,Брусь Григорій Ярославович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",33,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 11.02.1975 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватний підприємець Громосяк Б.М., Продавець, місце проживання: Тернопільська обл., м.Монастириська",01.10.2015,"  12,1245"
30,Лукій Богдан Васильович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 16.08.1942 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", пенсіонер, місце проживання: Тернопільська обл., Заліщицький р-н,смт.Товсте",01.10.2015,"  12,0734"
31,Пліщук Ярослав Петрович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",60,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 13.10.1984 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Чортківський районний пологовий будинок, Лікар-гінеколог, місце проживання: Тернопільська область, Чортківський р-н., с. Білобожниця",01.10.2015,"  11,5270"
32,Була Петро Володимирович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",24,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 13.05.1963 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ТОВ ""Остапецький цегельний завод"", директор, місце проживання: Тернопільська область, м.Тернопіль",01.10.2015,"  11,4155"
33,Кухарський Теодозій Васильович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",56,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 15.08.1962 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: Тернопільська область, Тернопільський район, с. Товстолуг",01.10.2015,"  10,8290"
34,Стадник Оксана Петрівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",40,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 14.05.1958 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", пенсіонер, місце проживання: Тернопільська область,Теребовлянський район, м. Теребовля",01.10.2015,"  10,6974"
35,Семчук Ярослав Васильович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",38,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 11.06.1966 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", тимчасово не працює, місце проживання: Тернопільська область,Теребовлянський район, c. Залав’є",01.10.2015,"  10,6841"
36,Ганевська Оксана Дмитрівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",55,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 05.04.1966 р., освіта вища, безпартійна, В. Березовицька амбулаторія загальної практики сімейної медицини, завідувач, місце проживання: Тернопільська обл., Тернопільський район, смт. В.Березовиця",01.10.2015,"  10,5612"
37,Бойко Володимир Богданович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 16.02.1985 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Збройні Сили України, польова пошта в/ч В 1060, Військовослужбовець, учасник АТО, місце проживання: м.Тернопіль",01.10.2015,"  10,5293"
38,Ярема Орест Йосипович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",3,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 30.05.1954 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Борщівська районна державна адміністрація, Заступник голови, місце проживання: Тернопільська обл., Борщівський р-н, м. Борщів",01.10.2015,"  10,5263"
39,Гембатюк Андрій Ярославович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",16,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 24.03.1970 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Фізична особа-підприємець, місце проживання: Тернопільська обл., Заліщицький р-н, м.Заліщики",01.10.2015,"  10,4230"
40,Марченко Володимир Борисович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",26,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 03.03.1964 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", пенсіонер, місце проживання: Тернопільська обл., м. Кременець",01.10.2015,"  10,4205"
41,Мельник Марта Петрівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",12,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 16.07.1964 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Вчитель, Васильковецька ЗОШ I-III ст., місце проживання: Тернопільська область, Гусятинський р-н, с. Васильківці",01.10.2015,"   9,7984"
42,Ратушняк Михайло Михайлович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",42,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 04.03.1962 р., освіта вища, безпартійний, ТОВ ""Ант"", директор, місце проживання: м. Тернопіль",01.10.2015,"   9,5312"
43,Лемішка Ярослав Петрович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",45,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 26.07.1961 р., освіта вища, безпартійний, Тернопільська обласна філірмонія, директор, місце проживання: м.Тернопіль",01.10.2015,"   9,4340"
44,Ільків Олександра Ігорівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",15,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 21.02.1976 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Чортківська МДФІ, інспектор, місце проживання: Тернопільська обл., Заліщицький р-н, с. Городок",01.10.2015,"   9,2507"
45,Шепета Віктор Михайлович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",58,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 25.02.1984 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Приватний підприємець, місце проживання: Тернопільська обл., м. Чортків",01.10.2015,"   8,8673"
46,Крижановський Андрій Петрович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",52,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 07.02.1987 р., освіта вища, безпартійний, тимчасово не працює, місце проживання: м.Тернопіль",01.10.2015,"   8,6638"
47,Криса Петро Андрійович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",61,Тернопільська область,Тернопільська обласна рада,"Громадянин України, народився 05.02.1981 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Збройні сили України, Старший лейтинант, місце проживання: Тернопільська обл., Чортківський р-н., с. Біла",01.10.2015,"   8,3420"
48,Кобилянська Оксана Дмитрівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",4,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 20.10.1985 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Борщівський агротехнічний коледж, викладач, місце проживання: Тернопільська обл., Борщівський р-н, с. Стріл-ківці",01.10.2015,"   8,1777"
49,Шоломейчук Наталія Василівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",53,Тернопільська область,Тернопільська обласна рада,"Громадянка України, народилася 29.09.1968 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Фізична особа підприємець, місце проживання: м. Тернопіль",01.10.2015,"   8,1291"
