,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
0,Попович Вячеслав Іванович,"Партія ""Відродження""",Перший кандидат,Харківська область,Дергачівська районна рада,"Громадянин України, народився 26.12.1959 р., освіта вища, член Партії ""Відродження"", пенсіонер, місце проживання: Харківська обл., Дергачівський район, смт Мала Данилівка",01.10.2015,
1,Нікольченко Ігор Юрійович,"Партія ""Відродження""",34,Харківська область,Дергачівська районна рада,"Громадянин України, народився 08.04.1983 р., освіта вища, член Партії ""Відродження"", ТОВ сільськогосподарське товариство ""Колос"", директор, місце проживання: м.Харків",01.10.2015,"  59,4498"
2,Ковалець Віра Миколаївна,"Партія ""Відродження""",9,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 10.09.1948 р., освіта загальна середня, член Партії ""Відродження"", пенсіонерка, місце проживання: смт Вільшани, Дергачівський район, Харківська обл.",01.10.2015,"  58,5132"
3,Довбій Сергій Миколайович,"Партія ""Відродження""",19,Харківська область,Дергачівська районна рада,"Громадянин України, народився 22.07.1963 р., освіта вища, член Партії ""Відродження"", Приватний підприємець, місце проживання: смт Слатине, Дергачівський район, Харківська обл.",01.10.2015,"  53,0899"
4,Фоміна Тетяна Афанасіївна,"Партія ""Відродження""",33,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 11.02.1947 р., освіта загальна середня, член Партії ""Відродження"", Русько-лозівський сільський клуб, Керівник фольклорного колективу, місце проживання: с.Руська Лозова, Дергачівський район, Харківська обл.",01.10.2015,"  49,0526"
5,Квартенко Євген Олексійович,"Партія ""Відродження""",32,Харківська область,Дергачівська районна рада,"Громадянин України, народився 08.08.1979 р., освіта вища, безпартійний, ТОВ ""Агро-Інвест"", Заступник директора, місце проживання: м. Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  47,6645"
6,Стрілець Віра Петрівна,"Партія ""Відродження""",3,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 29.11.1960 р., освіта вища, член Партії ""Відродження"", СТОВ ""Дергачівська станція з птахівництва та інкубації"", директор, місце проживання: м. Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  47,0530"
7,Марусич Надія Іванівна,"Партія ""Відродження""",10,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 07.02.1967 р., освіта вища, безпартійна, Вільшанський дошкільний навчальний заклад ""Світанок"", завідуюча, місце проживання: смт Вільшани, Дергачівський район, Харківська обл.",01.10.2015,"  43,2028"
8,Зєнькова Ніна Олексіївна,"Партія ""Відродження""",6,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 24.02.1954 р., освіта вища, член Партії ""Відродження"", Дергачівський навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів - дошкільний заклад"" Дергачівської районної ради Харківської області, директор, місце проживання: м. Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  41,2371"
9,Деменко Тетяна Миколаївна,"Партія ""Відродження""",24,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 15.12.1964 р., освіта вища, член Партії ""Відродження"", Солоницівська поліклінніка Дергачівського району, Лікар акушер-гінеколог, місце проживання: смт Вільшани, Дергачівський район, Харківська обл.",01.10.2015,"  40,3846"
10,Лазарєв Геннадій Юрійович,"Партія ""Відродження""",5,Харківська область,Дергачівська районна рада,"Громадянин України, народився 15.07.1977 р., освіта вища, член Партії ""Відродження"", ТОВ ""Ідент-плюс"", Комерційний директор, місце проживання: м. Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  40,1891"
11,Байстрюченко Євгенія Миколаївна,"Партія ""Відродження""",7,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 01.10.1954 р., освіта вища, член Партії ""Відродження"", Дергачівський навчально-виховний комплекс ""Загальноосвітнія школа I-III ступенів - дошкільний заклад"", Заступник директора з навчально-виховної роботи, місце проживання: м.Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  39,5028"
12,Безрук Михайло Васильович,"Партія ""Відродження""",30,Харківська область,Дергачівська районна рада,"Громадянин України, народився 17.08.1966 р., освіта загальна середня, член Партії ""Відродження"", тимчасово не працює, місце проживання: с.Протопопівка, Дергачівський район, Харківська обл.",01.10.2015,"  38,8889"
13,Мицай Володимир Олексійович,"Партія ""Відродження""",1,Харківська область,Дергачівська районна рада,"Громадянин України, народився 09.10.1958 р., освіта вища, член Партії ""Відродження"", Дергачівське лісництво, Лісничий, місце проживання: м. Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  38,6654"
14,Желтобрюх Вячеслав Вікторович,"Партія ""Відродження""",8,Харківська область,Дергачівська районна рада,"Громадянин України, народився 23.09.1961 р., освіта вища, член Партії ""Відродження"", Дергачівська районна рада, Заступник голови Дергачівської районної ради, місце проживання: м. Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  37,8594"
15,Козлоков Антон Олександрович,"Партія ""Відродження""",25,Харківська область,Дергачівська районна рада,"Громадянин України, народився 15.01.1984 р., освіта вища, безпартійний, Харківський політехнічний інститут, викладач, місце проживання: смт Солоницівка, Дергачівський район, Харківська обл.",01.10.2015,"  37,6579"
16,Остапенко Олексій Прокопович,"Партія ""Відродження""",4,Харківська область,Дергачівська районна рада,"Громадянин України, народився 14.02.1946 р., освіта вища, член Партії ""Відродження"", Дергачівський ліцей №2,Дергачівськоїрайонної радиХарківської обл., директор, місце проживання: м.Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  35,8881"
17,Кузьменко Олександр Сергійович,"Партія ""Відродження""",15,Харківська область,Дергачівська районна рада,"Громадянин України, народився 14.09.1959 р., освіта вища, член Партії ""Відродження"", пенсіонер, місце проживання: смт Мала Данилівка, Дергачівський район, Харківська обл.",01.10.2015,"  34,6726"
18,Хміль Інна Володимирівна,"Партія ""Відродження""",16,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 24.07.1971 р., освіта вища, безпартійна, Дергачівське районне управління юстиції, Спеціаліст відділу реєстрації цивільного стану, місце проживання: смт Пересічне, Дергачівський район, Харківська обл.",01.10.2015,"  33,9422"
19,Биченко Максим Анатолійович,"Партія ""Відродження""",31,Харківська область,Дергачівська районна рада,"Громадянин України, народився 09.07.1980 р., освіта вища, безпартійний, Селянське фермерське господарство ""Відродження"", Голова правління, місце проживання: с.Малі Проходи, Дергачівський район, Харківська обл.",01.10.2015,"  33,9007"
20,Поліщук Іван Семенович,"Партія ""Відродження""",2,Харківська область,Дергачівська районна рада,"Громадянин України, народився 30.06.1950 р., освіта вища, член Партії ""Відродження"", ТОВ ""Дергачівськезаводоуправління"", директор, місце проживання: м.Харків",01.10.2015,"  32,7526"
21,Демидова Любов Павлівна,"Партія ""Відродження""",27,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 18.02.1962 р., освіта вища, член Партії ""Відродження"", Кафе ""Мрія"", фізична особа – підприємець, місце проживання: смт Солоницівка, Дергачівський район, Харківська обл.",01.10.2015,"  31,9721"
22,Сітченко Анатолій Анатолійович,"Партія ""Відродження""",23,Харківська область,Дергачівська районна рада,"Громадянин України, народився 06.05.1959 р., освіта загальна середня, член Партії ""Відродження"", Приватне підприємство ""САНА"", директор, місце проживання: смт Солоницівка, Дергачівський район, Харківська обл.",01.10.2015,"  31,1745"
23,Цвек Сергій Степанович,"Партія ""Відродження""",36,Харківська область,Дергачівська районна рада,"Громадянин України, народився 27.12.1967 р., освіта вища, член Партії ""Відродження"", тимчасово не працює, місце проживання: с-ще Лісне, Дергачівський район, Харківська обл.",01.10.2015,"  31,0473"
24,Ізотова Любов Андріївна,"Партія ""Відродження""",21,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 31.12.1953 р., освіта вища, член Партії ""Відродження"", Слатинська медамбулаторія, Лікар - стоматолог, місце проживання: смт Слатине, Дергачівський район, Харківська обл.",01.10.2015,"  30,9105"
25,Ільченко Карина Вячеславівна,"Партія ""Відродження""",35,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 02.08.1996 р., освіта вища, член Партії ""Відродження"", тимчасово не працює, місце проживання: с. Черкаська Лозова, Дергачівський район, Харківська обл.",01.10.2015,"  30,7692"
26,Чуфаров Володимир Олексійович,"Партія ""Відродження""",28,Харківська область,Дергачівська районна рада,"Громадянин України, народився 05.08.1957 р., освіта вища, член Партії ""Відродження"", Приватний підприємець, місце проживання: м. Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  30,4927"
27,Муренець Григорій Миколайович,"Партія ""Відродження""",18,Харківська область,Дергачівська районна рада,"Громадянин України, народився 09.01.1966 р., освіта загальна середня, член Партії ""Відродження"", Спілка ветеранів війни та праці смт Пересічне, Голова, місце проживання: Пересічне, Дергачівський район, Харківська обл.",01.10.2015,"  30,4910"
28,Каверзін Петро Андрійович,"Партія ""Відродження""",20,Харківська область,Дергачівська районна рада,"Громадянин України, народився 09.07.1962 р., освіта вища, член Партії ""Відродження"", Регіональне виробниче управління ""Харківавтогаз"", Заступник начальника, місце проживання: с. Цупівка, Дергачівський район, Харківська обл.",01.10.2015,"  29,9735"
29,Луценко Віталій Володимирович,"Партія ""Відродження""",26,Харківська область,Дергачівська районна рада,"Громадянин України, народився 12.05.1987 р., освіта вища, член Партії ""Відродження"", тимчасово не працює, місце проживання: с. Подвірки, Дергачівський район, Харківська обл.",01.10.2015,"  29,5419"
30,Бізікін Іван Сергійович,"Партія ""Відродження""",22,Харківська область,Дергачівська районна рада,"Громадянин України, народився 28.07.1991 р., освіта вища, член Партії ""Відродження"", Ленінський районний суд м.Харкова, Заступник керівника апарату, місце проживання: м.Харків",01.10.2015,"  28,0679"
31,Умнікова Наталія Миколаївна,"Партія ""Відродження""",11,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 23.07.1971 р., освіта вища, член Партії ""Відродження"", ДНЗ ""Сонях"", Козачолопанської селищної ради, Вихователь - методист, місце проживання: смт Козача Лопань, Дергачівський район, Харківська обл.",01.10.2015,"  27,6676"
32,Дригваль Світлана Анатоліївна,"Партія ""Відродження""",14,Харківська область,Дергачівська районна рада,"Громадянка України, народилася 14.05.1983 р., освіта вища, член Партії ""Відродження"", Малоданилівська селищна рада, Заступник селищного голови - начальник відділу обліку - головний бухгалтер, місце проживання: м. Дергачі, Дергачівський район, Харківська обл.",01.10.2015,"  26,7548"
33,Філатов Сергій Вікторович,"Партія ""Відродження""",12,Харківська область,Дергачівська районна рада,"Громадянин України, народився 26.05.1958 р., освіта вища, член Партії ""Відродження"", тимчасово не працює, місце проживання: смт Козача Лопань, Дергачівський район, Харківська обл.",01.10.2015,"  26,1538"
