,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
0,Марцинишин Віталій Тадеушович,Аграрна партія України,Перший кандидат,Хмельницька область,Городоцька міська рада,"Громадянин України, народився 06.10.1974 р., освіта вища, член Аграрної партії України, Приватне підприємство, фізична особа-підприємець, місце проживання: м.Городок",02.10.2015,
1,Мізерна Олена Миколаївна,Аграрна партія України,5,Хмельницька область,Городоцька міська рада,"Громадянка України, народилася 18.07.1978 р., освіта вища, член Аграрної партії України, Приватне підприємство, фізична особа-підприємець, місце проживання: м.Городок",02.10.2015,
2,Плавуцький Михайло Антонович,Аграрна партія України,6,Хмельницька область,Городоцька міська рада,"Громадянин України, народився 02.03.1949 р., освіта вища, член Аграрної партії України, Приватне підприємство, фізична особа-підприємець, місце проживання: с.Кремінна",02.10.2015,
3,Ястремська Оксана Володимирівна,Аграрна партія України,2,Хмельницька область,Городоцька міська рада,"Громадянка України, народилася 21.04.1970 р., освіта вища, член Аграрної партії України, Приватне підприємство, фізична особа-підприємець, місце проживання: м.Городок",02.10.2015,
4,Сокальський Володимир Юльянович,"Партія ""Відродження""",Перший кандидат,Хмельницька область,Городоцька міська рада,"Громадянин України, народився 30.03.1956 р., освіта професійно-технічна, член Партії ""Відродження"", Приватне підприємство ""Шляховик"", директор, місце проживання: м.Городок",02.10.2015,
5,Бойчук Людмила Борисівна,"Партія ""Відродження""",2,Хмельницька область,Городоцька міська рада,"Громадянка України, народилася 02.01.1977 р., освіта вища, член Партії ""Відродження"", тимчасово не працює, місце проживання: м.Городок",02.10.2015,
6,Вечеркова Аліна Петрівна,"Партія ""Відродження""",9,Хмельницька область,Городоцька міська рада,"Громадянка України, народилася 19.08.1985 р., освіта вища, член Партії ""Відродження"", тимчасово не працює, місце проживання: с.Чорниводи",02.10.2015,
7,Горкун Інна Володимирівна,"Партія ""Відродження""",4,Хмельницька область,Городоцька міська рада,"Громадянка України, народилася 01.08.1978 р., освіта вища, член Партії ""Відродження"", Комунальне підприємство ""Городоккомунсервіс"", Юрист, місце проживання: м.Городок",02.10.2015,
8,Жищинський Сергій Васильович,"Партія ""Відродження""",19,Хмельницька область,Городоцька міська рада,"Громадянин України, народився 16.12.1976 р., освіта вища, член Партії ""Відродження"", Городоцька центральна районна лікарня, Лікар-ортопед, місце проживання: м.Городок",02.10.2015,
9,Заблуда Аліна Вікторівна,"Партія ""Відродження""",18,Хмельницька область,Городоцька міська рада,"Громадянка України, народилася 06.08.1992 р., освіта вища, член Партії ""Відродження"", тимчасово не працює, місце проживання: м.Городок",02.10.2015,
