,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
0,Обушний Олег Олексійович,Аграрна партія України,Перший кандидат,Чернігівська область,Чернігівська міська рада,"Громадянин України, народився 01.07.1971 р., освіта вища, безпартійний, Чернігівська дирекція УДППЗ ""Укрпошта"", директор, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
1,Бєлік Сергій Віталійович,Аграрна партія України,25,Чернігівська область,Чернігівська міська рада,"Громадянин України, народився 26.06.1961 р., освіта вища, безпартійний, пенсіонер, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
2,Богуш Анатолій Олександрович,Аграрна партія України,35,Чернігівська область,Чернігівська міська рада,"Громадянин України, народився 19.04.1958 р., освіта вища, член Аграрної партії України, КП ""Чернігівський обласний навчально-курсовий комбінат"" Чернігівської обласної ради, Заступник директора, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
3,Велігорська Олена Миколаївна,Аграрна партія України,38,Чернігівська область,Чернігівська міська рада,"Громадянка України, народилася 22.09.1978 р., освіта професійно-технічна, безпартійна, МВПЗ - 37, Начальник, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
4,Ганіч Олександр Володимирович,Аграрна партія України,1,Чернігівська область,Чернігівська міська рада,"Громадянин України, народився 26.05.1984 р., освіта вища, безпартійний, Чернігівська міська організація професійної спілки працівників АПК України, Голова, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
5,Гречанюк Костянтин Олексійович,Аграрна партія України,2,Чернігівська область,Чернігівська міська рада,"Громадянин України, народився 30.01.1959 р., освіта вища, безпартійний, пенсіонер, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
6,Дмитренко Ірина Степанівна,Аграрна партія України,36,Чернігівська область,Чернігівська міська рада,"Громадянка України, народилася 28.04.1977 р., освіта загальна середня, безпартійна, МВПЗ Чернігів-21 ЧД УДППЗ ""Укрпошта"", Начальник, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
7,Дмитрук Жанна Петрівна,Аграрна партія України,13,Чернігівська область,Чернігівська міська рада,"Громадянка України, народилася 01.01.1980 р., освіта вища, безпартійна, ТОВ ""Комп’ютерна Академія ""ШАГ"" м. Чернігів"", директор, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
8,Кирієнко Андрій Іванович,Аграрна партія України,39,Чернігівська область,Чернігівська міська рада,"Громадянин України, народився 11.01.1980 р., освіта вища, безпартійний, Суб’єкт підприємницької діяльності, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
9,Коваленко Оксана Володимирівна,Аграрна партія України,29,Чернігівська область,Чернігівська міська рада,"Громадянка України, народилася 14.09.1978 р., освіта вища, безпартійна, ТОВ ""Наша булочка"", директор, місце проживання: Чернігівська область, м. Чернігів",30.09.2015,
